TRANSACTION DETAILS,count
fdrl/internal fund transfe,8839
fdrl/national electronic f,6262
internal fund transfer in,3262
trf to  indiaforensic services i,3082
trf from  indiaforensic services,2107
cashdep/gurgaon/,1837
fdrl/real time gross settl,1748
cashdep/karol bagh/,1649
indiaforensic services india pvt,1608
cashdep/rajouri/,1538
cashdep/noida/tp,1454
irctc corporate office ac,1076
indiaforensic aeps npci wdl set,974
sweep trf to: 40900036427,885
trf frm  indiaforensic services,742
cashdep/new-delhi/,723
payu payments private lim,710
cashdep/faridabad/tp,702
indiaideas.com ltd,699
indiaforensic aeps npci dep set,638
bigtree entertainment pri,630
cashdep/silvassa/,625
trf to indiaforensic services in,598
cashdep/vikasmarg/tp,593
trf from indiaforensic services,582
cashdep/bhi-riico/,545
cashdep/panipat/0146,534
cashdep/gurgaon/lct,516
avenues india private lim,500
mehar entertainment priva,494
cashdep/pitampura/tp,488
cashdep/kalyan-w/,441
cashdep/daman/,422
future retail limited (ow,408
cashdep/surat/,291
sonata finance private li,288
localcube commerce privat,284
pasfar technologies priva,275
cashdep/vapi/,256
cashdep/karol bagh/lct,254
just dial limited,244
cashdep/pitampura/lct,242
dsb cash pickp indiaforensic met,225
nomisma mobile solutions,222
bses rajdhani power limit,221
cashdep/dombivli-e/,216
dsb cash pickp indiaforensic gur,206
cashdep/rmall/,199
pvr limited,194
cashdep/vikasmarg/tp/cash,194
